query_idx,benchmark,embedding_ms,retrieval_ms,safety_ms,extractive_ms,grounding_ms,rag_core_ms,status
0,A_fast_path,2.19,10.6,0.01,3.77,0.13,14.53,answered
1,A_fast_path,3.37,12.55,0.02,8.75,0.09,21.43,answered
2,A_fast_path,2.69,13.11,0.01,10.84,0.09,24.08,answered
3,A_fast_path,3.11,13.0,0.01,10.66,0.09,23.79,answered
4,A_fast_path,2.37,12.49,0.01,10.31,0.0,22.82,answered
5,A_fast_path,2.44,11.83,0.01,10.85,0.09,22.79,answered
6,A_fast_path,2.34,14.27,0.01,14.54,0.0,28.83,answered
7,A_fast_path,2.49,11.84,0.01,9.34,0.1,21.32,answered
8,A_fast_path,2.78,12.32,0.01,11.06,0.0,23.41,answered
9,A_fast_path,2.98,12.12,0.01,11.5,0.0,23.65,answered
10,A_fast_path,2.96,13.23,0.01,11.56,0.0,24.83,answered
11,A_fast_path,3.05,12.08,0.02,13.06,0.11,25.28,answered
12,A_fast_path,2.96,12.42,0.01,7.86,0.0,20.3,answered
13,A_fast_path,36.19,56.06,0.02,12.73,0.12,68.96,answered
14,A_fast_path,2.98,13.12,0.01,23.36,0.0,36.52,answered
15,A_fast_path,3.81,13.7,0.02,9.57,0.11,23.41,answered
16,A_fast_path,3.06,12.61,0.02,8.06,0.12,20.82,answered
17,A_fast_path,3.47,14.44,0.02,12.29,0.11,26.89,answered
18,A_fast_path,3.76,14.02,0.02,13.08,0.12,27.25,answered
19,A_fast_path,2.89,12.08,0.02,13.42,0.12,25.65,answered
20,A_fast_path,3.3,16.5,0.02,11.9,0.14,28.57,answered
21,A_fast_path,3.04,13.37,0.02,12.88,0.12,26.41,answered
22,A_fast_path,2.75,14.6,0.01,9.12,0.0,23.75,answered
23,A_fast_path,3.82,14.51,0.02,11.15,0.13,25.82,answered
24,A_fast_path,4.08,17.2,0.03,17.11,0.0,34.38,answered
25,A_fast_path,3.13,13.71,0.02,12.09,0.12,25.97,answered
26,A_fast_path,3.46,14.32,0.01,15.39,0.17,29.9,answered
27,A_fast_path,5.39,17.56,0.03,13.08,0.13,30.82,answered
28,A_fast_path,3.22,16.97,0.01,11.73,0.15,28.88,answered
29,A_fast_path,4.08,14.7,0.02,9.97,0.01,24.7,answered
30,A_fast_path,4.32,14.94,0.03,23.34,0.14,38.47,answered
31,A_fast_path,3.38,15.77,0.02,8.49,0.01,24.31,answered
32,A_fast_path,4.99,15.5,0.02,12.04,0.14,27.73,answered
33,A_fast_path,3.59,14.03,0.02,11.41,0.14,25.62,answered
34,A_fast_path,4.22,15.48,0.03,11.46,0.12,27.1,answered
35,A_fast_path,3.66,17.39,0.02,16.1,0.14,33.68,answered
36,A_fast_path,3.24,14.29,0.02,12.15,0.15,26.62,answered
37,A_fast_path,3.26,14.06,0.02,13.97,0.01,28.06,answered
38,A_fast_path,3.61,15.38,0.02,9.01,0.14,24.59,answered
39,A_fast_path,3.62,14.27,0.02,27.09,0.0,41.42,answered
40,A_fast_path,3.68,14.65,0.02,12.23,0.13,27.06,answered
41,A_fast_path,3.25,15.66,0.02,31.67,0.15,47.51,answered
42,A_fast_path,4.13,18.64,0.02,21.67,0.14,40.5,answered
43,A_fast_path,3.49,16.23,0.02,16.88,0.13,33.28,answered
44,A_fast_path,4.54,15.99,0.03,25.59,0.15,41.78,answered
45,A_fast_path,4.38,20.11,0.03,13.94,0.16,34.27,answered
46,A_fast_path,4.79,17.11,0.03,18.02,0.16,35.34,answered
47,A_fast_path,4.76,17.4,0.04,25.41,0.14,43.01,answered
48,A_fast_path,4.39,16.15,0.02,17.56,0.03,33.78,answered
49,A_fast_path,5.01,19.99,0.02,26.91,0.16,47.12,answered
50,A_fast_path,3.83,15.4,0.02,13.41,0.16,29.0,answered
51,A_fast_path,4.26,15.87,0.03,13.73,0.14,29.79,answered
52,A_fast_path,5.01,19.34,0.03,29.89,0.15,49.44,answered
53,A_fast_path,3.93,15.12,0.02,15.07,0.15,30.38,answered
54,A_fast_path,4.73,15.82,0.03,21.42,0.01,37.29,answered
55,A_fast_path,4.92,16.67,0.03,14.42,0.16,31.3,answered
56,A_fast_path,4.65,20.13,0.02,15.67,0.16,36.01,answered
57,A_fast_path,4.47,15.95,0.02,10.32,0.21,26.52,answered
58,A_fast_path,4.07,16.97,0.02,19.03,0.16,36.2,answered
59,A_fast_path,4.98,18.9,0.03,13.05,0.2,32.22,answered
60,A_fast_path,5.24,18.46,0.03,25.23,0.21,43.95,answered
61,A_fast_path,5.07,17.36,0.03,19.75,0.16,37.31,answered
62,A_fast_path,4.03,16.98,0.03,13.87,0.17,31.06,answered
63,A_fast_path,4.97,20.51,0.03,24.98,0.15,45.72,answered
64,A_fast_path,4.34,16.27,0.02,11.35,0.21,27.87,answered
65,A_fast_path,5.22,18.86,0.03,13.85,0.01,32.77,answered
66,A_fast_path,4.06,17.82,0.03,49.33,0.45,67.66,answered
67,A_fast_path,18.01,42.12,0.03,25.34,0.01,67.51,answered
68,A_fast_path,3.75,15.72,0.02,19.26,0.2,35.22,answered
69,A_fast_path,4.19,16.18,0.02,14.13,0.16,30.51,answered
70,A_fast_path,4.05,19.35,0.02,7.26,0.15,26.82,answered
71,A_fast_path,5.01,17.14,0.03,18.39,0.16,35.74,answered
72,A_fast_path,4.01,15.35,0.02,27.66,0.01,43.05,answered
73,A_fast_path,3.9,17.09,0.02,19.53,0.01,36.68,answered
74,A_fast_path,4.88,16.37,0.03,26.43,0.16,43.01,answered
75,A_fast_path,4.15,16.23,0.02,11.29,0.01,27.56,answered
76,A_fast_path,3.88,15.74,0.02,17.46,0.01,33.25,answered
77,A_fast_path,4.81,19.94,0.04,15.53,0.16,35.7,answered
78,A_fast_path,4.05,16.22,0.02,13.2,0.01,29.46,answered
79,A_fast_path,4.59,16.51,0.02,17.47,0.01,34.03,answered
80,A_fast_path,4.36,18.26,0.02,10.53,0.15,29.0,answered
81,A_fast_path,5.36,16.99,0.06,19.25,0.16,36.49,answered
82,A_fast_path,4.25,15.85,0.02,20.45,0.19,36.53,answered
83,A_fast_path,4.51,16.36,0.03,17.37,0.15,33.92,answered
84,A_fast_path,4.12,20.15,0.02,13.35,0.01,33.55,answered
85,A_fast_path,3.84,15.66,0.02,18.28,0.01,33.99,answered
86,A_fast_path,4.03,15.94,0.02,11.23,0.17,27.39,answered
87,A_fast_path,5.47,21.72,0.03,25.47,0.21,47.47,answered
88,A_fast_path,4.41,15.8,0.02,23.81,0.01,39.67,answered
89,A_fast_path,3.51,14.53,0.02,36.26,0.16,51.0,answered
90,A_fast_path,4.78,17.35,0.03,16.75,0.01,34.15,answered
91,A_fast_path,5.43,32.28,0.02,26.99,0.17,59.5,answered
92,A_fast_path,4.48,16.83,0.02,18.74,0.01,35.61,answered
93,A_fast_path,4.74,16.87,0.03,27.62,0.2,44.74,answered
94,A_fast_path,4.77,20.96,0.02,31.21,0.17,52.4,answered
95,A_fast_path,5.73,20.34,0.02,24.14,0.18,44.71,answered
96,A_fast_path,5.84,19.94,0.03,35.45,0.15,55.59,answered
97,A_fast_path,6.05,24.14,0.04,20.88,0.01,45.09,answered
98,A_fast_path,5.07,20.38,0.03,31.72,0.16,52.33,answered
99,A_fast_path,6.9,20.61,0.03,17.04,0.19,37.89,answered
101,A_fast_path,5.1,17.58,0.02,14.14,0.01,31.77,answered
102,A_fast_path,5.54,21.0,0.03,21.09,0.16,42.31,answered
103,A_fast_path,5.75,19.96,0.03,23.71,0.01,43.74,answered
104,A_fast_path,3.87,16.08,0.02,15.52,0.15,31.8,answered
105,A_fast_path,4.84,16.81,0.03,16.8,0.17,33.83,answered
106,A_fast_path,5.11,21.04,0.03,26.62,0.16,47.89,answered
107,A_fast_path,4.37,15.45,0.02,17.66,0.17,33.31,answered
108,A_fast_path,5.04,17.16,0.02,12.09,0.15,29.44,answered
109,A_fast_path,3.98,19.66,0.02,13.7,0.15,33.56,answered
110,A_fast_path,4.29,15.7,0.03,22.54,0.16,38.44,answered
111,A_fast_path,4.43,17.05,0.03,19.33,0.16,36.58,answered
112,A_fast_path,4.01,15.02,0.02,24.86,0.01,39.92,answered
113,A_fast_path,4.13,20.57,0.03,18.19,0.15,38.98,answered
114,A_fast_path,5.32,16.87,0.03,18.08,0.18,35.19,answered
115,A_fast_path,4.07,14.58,0.02,22.47,0.01,37.08,answered
116,A_fast_path,4.59,18.77,0.03,14.99,0.16,33.99,answered
117,A_fast_path,4.1,15.11,0.02,13.42,0.15,28.73,answered
118,A_fast_path,3.84,14.62,0.02,9.99,0.01,24.65,answered
119,A_fast_path,3.96,14.88,0.02,16.9,0.16,31.98,answered
120,A_fast_path,3.96,18.51,0.02,17.88,0.15,36.59,answered
121,A_fast_path,4.6,29.86,0.03,56.66,0.16,86.74,answered
122,A_fast_path,4.69,16.94,0.03,17.24,0.01,34.23,answered
123,A_fast_path,3.94,17.82,0.02,13.51,0.13,31.51,answered
124,A_fast_path,3.57,14.15,0.02,17.51,0.15,31.86,answered
125,A_fast_path,3.96,14.62,0.02,25.4,0.01,40.06,answered
126,A_fast_path,4.22,18.11,0.02,0.69,0.0,18.83,answered
127,A_fast_path,4.56,18.55,0.03,17.96,0.16,36.73,answered
128,A_fast_path,4.07,15.37,0.03,16.86,0.14,32.41,answered
129,A_fast_path,4.4,15.65,0.03,32.97,0.16,48.82,answered
130,A_fast_path,5.18,21.25,0.04,20.19,0.01,41.53,answered
131,A_fast_path,3.9,15.26,0.02,13.69,0.15,29.15,answered
132,A_fast_path,3.55,16.16,0.02,12.95,0.15,29.3,answered
133,A_fast_path,4.74,17.58,0.03,17.64,0.15,35.43,answered
134,A_fast_path,3.96,16.98,0.02,17.57,0.16,34.77,answered
135,A_fast_path,4.12,15.09,0.03,18.45,0.15,33.73,answered
136,A_fast_path,3.77,14.69,0.02,14.08,0.16,28.96,answered
137,A_fast_path,3.7,17.07,0.02,7.07,0.01,24.19,answered
138,A_fast_path,3.79,14.3,0.02,18.74,0.15,33.23,answered
139,A_fast_path,4.12,14.88,0.02,10.08,0.01,25.0,answered
140,A_fast_path,3.98,14.78,0.02,12.7,0.16,27.68,answered
141,A_fast_path,4.61,20.82,0.02,18.2,0.16,39.25,answered
142,A_fast_path,4.66,15.76,0.02,13.96,0.15,29.9,answered
143,A_fast_path,3.81,14.32,0.02,18.1,0.17,32.63,answered
144,A_fast_path,4.15,17.57,0.03,13.72,0.14,31.49,answered
145,A_fast_path,4.41,17.95,0.03,9.61,0.01,27.62,answered
146,A_fast_path,4.12,15.43,0.03,17.84,0.15,33.47,answered
147,A_fast_path,4.34,15.27,0.02,13.16,0.14,28.61,answered
148,A_fast_path,3.47,16.94,0.02,13.82,0.15,30.96,answered
149,A_fast_path,4.16,15.03,0.03,18.84,0.18,34.1,answered
150,A_fast_path,4.33,15.24,0.02,15.88,0.15,31.32,answered
151,A_fast_path,4.16,18.1,0.03,17.59,0.14,35.89,answered
152,A_fast_path,3.71,14.77,0.02,17.31,0.15,32.27,answered
153,A_fast_path,4.04,14.82,0.02,14.77,0.13,29.76,answered
154,A_fast_path,4.96,15.45,0.03,17.75,0.16,33.4,answered
155,A_fast_path,5.27,20.6,0.03,12.85,0.18,33.69,answered
156,A_fast_path,4.89,16.44,0.03,12.04,0.15,28.68,answered
157,A_fast_path,5.16,17.12,0.04,19.09,0.15,36.42,answered
158,A_fast_path,4.65,19.32,0.03,28.63,0.16,48.16,answered
159,A_fast_path,4.41,14.06,0.02,13.71,0.15,27.95,answered
160,A_fast_path,4.69,16.04,0.03,10.08,0.15,26.31,answered
161,A_fast_path,3.22,14.1,0.02,19.34,0.15,33.62,answered
162,A_fast_path,4.34,17.77,0.02,16.47,0.01,34.31,answered
163,A_fast_path,3.93,14.79,0.03,9.61,0.16,24.61,answered
164,A_fast_path,4.01,14.93,0.02,10.52,0.16,25.65,answered
165,A_fast_path,4.5,20.48,0.03,9.78,0.16,30.49,answered
166,A_fast_path,4.62,16.4,0.02,12.14,0.16,28.75,answered
167,A_fast_path,4.48,16.04,0.03,11.94,0.13,28.15,answered
168,A_fast_path,4.31,14.3,0.02,17.77,0.16,32.27,answered
169,A_fast_path,4.81,19.15,0.04,16.29,0.13,35.65,answered
170,A_fast_path,3.31,15.03,0.02,12.73,0.13,27.93,answered
171,A_fast_path,4.26,15.84,0.04,21.6,0.01,37.5,answered
172,A_fast_path,4.5,18.01,0.02,12.45,0.15,30.68,answered
173,A_fast_path,3.95,14.26,0.02,12.02,0.15,26.47,answered
174,A_fast_path,4.25,15.34,0.02,27.41,0.01,42.8,answered
175,A_fast_path,3.38,13.62,0.02,11.7,0.14,25.49,answered
176,A_fast_path,3.73,17.72,0.02,11.17,0.01,28.94,answered
177,A_fast_path,4.15,15.93,0.02,15.27,0.01,31.24,answered
178,A_fast_path,4.02,14.68,0.02,9.55,0.01,24.28,answered
179,A_fast_path,4.26,16.59,0.02,20.93,0.01,37.58,answered
180,A_fast_path,3.43,14.61,0.02,15.18,0.15,30.01,answered
181,A_fast_path,4.51,17.22,0.03,19.0,0.16,36.42,answered
182,A_fast_path,4.83,16.79,0.03,15.34,0.15,32.33,answered
183,A_fast_path,5.6,21.94,0.04,18.14,0.16,40.31,answered
184,A_fast_path,4.5,16.2,0.04,24.43,0.16,40.88,answered
185,A_fast_path,4.15,16.88,0.03,13.68,0.01,30.61,answered
186,A_fast_path,4.62,20.72,0.02,6.23,0.14,27.14,answered
187,A_fast_path,3.44,15.5,0.02,13.53,0.01,29.07,answered
188,A_fast_path,4.8,16.67,0.04,18.25,0.01,34.98,answered
189,A_fast_path,4.52,16.69,0.03,18.72,0.16,35.62,answered
190,A_fast_path,4.05,18.4,0.02,19.53,0.17,38.16,answered
191,A_fast_path,4.49,15.98,0.03,16.1,0.16,32.29,answered
192,A_fast_path,3.79,13.88,0.02,12.6,0.14,26.65,answered
193,A_fast_path,4.86,18.84,0.03,16.49,0.15,35.54,answered
194,A_fast_path,4.67,16.76,0.03,13.96,0.01,30.79,answered
195,A_fast_path,4.23,15.52,0.03,13.48,0.14,29.2,answered
196,A_fast_path,3.65,14.61,0.01,14.37,0.14,29.15,answered
197,A_fast_path,4.19,20.9,0.03,17.32,0.15,38.43,answered
